MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,3,100,10175,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272,3,4,1,3,3,3,1,490,5,0,935,1425,1,2,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,1,1964,1,2,576,4,4,2,0,0,0,407,0,0,0,7,2008,8,4,180500
160,1,24,2645,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456,2,4,2,2,3,3,2,649,5,0,321,970,1,0,1,4,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,5,1,1999,0,2,480,4,4,2,115,0,0,0,0,0,0,8,2009,8,0,172500
60,3,89,11645,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0,2,4,2,2,3,3,5,0,5,0,860,860,1,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,5,1,2004,1,2,565,4,4,2,0,70,0,0,0,0,0,8,2006,8,4,196500
60,3,66,13682,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031,0,4,2,0,3,1,5,0,5,0,1410,1410,1,0,1,4,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,3,2006,0,3,641,4,4,2,192,0,37,0,0,0,0,10,2006,6,5,438780
20,3,60,7200,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,0,3,4,1,3,3,0,0,632,5,0,148,780,1,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,6,0,5,5,1973,2,1,352,4,4,2,196,0,0,0,0,0,0,1,2008,8,4,124900
20,3,63,13072,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,0,3,4,2,2,3,3,0,941,5,0,217,1158,1,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,5,5,2006,2,2,576,4,4,2,0,50,0,0,0,0,0,5,2006,6,5,158000
75,4,60,7200,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,2,0,3,4,0,3,0,3,5,0,5,0,530,530,1,4,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,5,5,1935,2,1,288,4,4,0,0,0,144,0,0,0,0,3,2007,8,4,101000
120,3,44,6442,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,178,2,4,2,2,1,2,2,24,5,0,1346,1370,1,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2006,1,2,484,4,4,2,120,49,0,0,0,0,0,10,2007,8,4,202500
70,4,50,10300,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,2,0,3,4,0,3,3,3,5,0,5,0,576,576,1,2,1,4,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,5,5,1990,2,2,480,4,4,2,12,11,64,0,0,0,0,4,2010,8,4,140000
60,3,70.0499583680267,9375,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573,3,4,2,2,3,3,2,739,5,0,318,1057,1,0,1,4,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,5,1,1998,1,2,645,4,4,2,576,36,0,0,0,0,0,2,2009,8,4,219500
60,3,76,9591,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344,2,4,2,0,3,0,5,0,5,0,1143,1143,1,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2004,1,3,852,4,4,2,192,151,0,0,0,0,0,10,2007,8,4,317000
20,3,70.0499583680267,19900,1,3,3,0,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,287,3,4,1,2,3,1,2,912,5,0,1035,1947,1,4,1,4,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,1,1970,1,2,576,4,4,2,301,0,0,0,0,0,0,7,2010,8,4,180000
20,3,72,10665,1,0,3,0,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167,2,4,2,2,3,0,2,1013,5,0,440,1453,1,0,1,4,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,5,1,2003,1,2,558,4,4,2,144,29,0,0,0,0,0,6,2007,8,4,226000
30,4,47,4608,1,3,3,0,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,2,0,3,2,1,3,3,3,5,0,5,0,747,747,1,4,1,4,747,0,0,747,0,0,1,0,2,1,3,4,6,0,5,1,1945,2,1,220,4,4,2,0,0,0,0,0,0,0,6,2010,8,4,80000
50,3,81,15593,1,3,3,0,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,0,2,4,1,3,3,3,1,603,5,0,701,1304,2,4,1,4,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,4,1,1953,0,2,667,4,4,2,0,21,114,0,0,0,0,7,2006,8,4,225000
20,3,95,13651,1,0,3,0,4,0,12,2,2,0,2,7,6,1973,1973,1,1,9,10,1,1115,3,2,1,2,3,1,0,1880,5,0,343,2223,1,0,1,4,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,1,1973,0,2,516,4,4,2,300,0,0,0,0,0,0,2,2007,8,4,244000
20,3,69,7599,1,3,3,0,0,0,11,2,2,0,2,4,6,1982,2006,1,1,6,10,2,0,3,4,1,3,3,3,0,565,5,0,280,845,1,4,1,4,845,0,0,845,1,0,1,0,2,1,3,4,6,0,5,5,1987,2,2,360,4,4,2,0,0,0,0,0,0,0,6,2007,8,4,129500
60,3,74,10141,1,0,3,0,0,0,8,2,2,0,5,7,5,1998,1998,1,1,12,13,1,40,3,4,2,2,3,3,5,0,5,0,832,832,1,2,1,4,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,4,1,1998,0,2,427,4,4,2,0,94,0,0,291,0,0,12,2009,8,4,185000
20,3,85,10200,1,3,3,0,4,0,12,2,2,0,2,5,7,1954,2003,1,1,13,14,1,104,3,4,1,3,3,3,0,320,1,362,404,1086,1,2,1,4,1086,0,0,1086,1,0,1,0,3,1,3,6,6,0,5,1,1989,2,2,490,4,4,2,0,0,0,0,0,0,0,5,2010,8,4,144900
50,4,60,5790,1,3,3,0,0,0,17,2,2,0,5,3,6,1915,1950,2,1,12,13,2,0,2,2,1,1,3,3,5,0,5,0,840,840,1,2,0,4,840,765,0,1605,0,0,2,0,3,2,3,8,6,0,5,5,1915,2,1,379,4,4,2,0,0,202,0,0,0,0,5,2010,8,4,107400
180,4,21,1596,1,3,3,0,4,0,10,2,2,3,7,4,5,1973,1973,1,1,5,5,2,0,3,4,1,2,3,1,2,462,5,0,0,462,1,4,1,4,526,462,0,988,1,0,1,0,2,1,3,5,6,0,5,3,1973,2,1,297,4,4,2,120,101,0,0,0,0,0,11,2009,8,4,91000
20,3,70.0499583680267,8475,1,0,3,0,4,0,12,2,2,0,2,4,7,1956,1956,1,1,12,13,2,0,3,4,1,3,3,3,0,228,5,0,724,952,1,0,1,0,952,0,0,952,0,0,1,0,2,1,3,4,6,0,5,5,1956,2,1,283,4,4,2,0,0,0,0,0,0,0,4,2008,8,4,135750
50,4,50,8635,1,3,3,0,4,0,3,2,2,0,0,5,5,1948,2001,1,1,13,14,2,0,3,4,1,3,3,3,1,336,2,41,295,672,1,4,1,4,1072,213,0,1285,1,0,1,0,2,1,3,6,2,0,5,5,1948,2,1,240,4,4,2,0,0,0,0,0,0,0,1,2008,8,4,127000
90,3,72,10778,1,3,3,0,4,0,19,2,2,2,2,4,5,1968,1968,3,1,6,6,2,0,3,4,1,3,3,3,5,0,5,0,1768,1768,1,4,0,4,1768,0,0,1768,0,0,2,0,4,2,3,8,6,0,5,6,1978.50616388687,3,0,0,5,5,2,0,0,0,0,0,0,0,4,2010,8,4,136500
50,4,60,10440,1,3,3,0,0,0,17,2,2,0,5,5,6,1910,1981,1,1,13,14,2,0,3,4,2,3,3,3,5,0,5,0,440,440,1,2,1,4,682,548,0,1230,0,0,1,1,2,1,3,5,6,0,5,5,1966,2,2,440,4,4,2,74,0,128,0,0,0,0,5,2009,8,4,110000
